"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.777372832E0,9.016608447E-2,9.542169571E-1,-3.391001225E-1,1.016685210E0
1.787371532E0,1.145015582E-1,1.204716682E0,-3.691243529E-1,1.265189978E0
1.797370298E0,1.373558640E-1,1.419388771E0,-4.003628492E-1,1.481155471E0
1.807369064E0,1.463992894E-1,1.682073593E0,-4.017655253E-1,1.735574793E0
1.817367764E0,1.462634504E-1,1.959238052E0,-4.498558640E-1,2.015533935E0
1.827366530E0,1.535159796E-1,2.159883022E0,-4.589086175E-1,2.213426969E0
1.837365296E0,1.599265784E-1,2.272102833E0,-4.809833765E-1,2.327954639E0
1.847364062E0,1.499762684E-1,2.331684113E0,-4.597172737E-1,2.381298733E0
1.857362828E0,1.503849179E-1,2.412853241E0,-4.503632784E-1,2.459126566E0
1.867361594E0,1.183312014E-1,2.515584946E0,-4.672896266E-1,2.561353058E0
1.877360360E0,1.236141026E-1,2.601496220E0,-4.656375647E-1,2.645728892E0
1.887359126E0,1.069174558E-1,2.692168713E0,-4.739040732E-1,2.735651438E0
1.897357826E0,1.065014228E-1,2.698991299E0,-4.802451134E-1,2.743452561E0
1.907356592E0,8.212306350E-2,2.605226517E0,-4.965267181E-1,2.653391826E0
1.917355358E0,7.252418995E-2,2.477909088E0,-4.721307158E-1,2.523529397E0
1.927354058E0,7.552008331E-2,2.400896549E0,-4.762617946E-1,2.448843160E0
1.937352824E0,4.580657184E-2,2.345406055E0,-4.780603647E-1,2.394069656E0
1.947351557E0,5.122004449E-2,2.222923756E0,-4.794277549E-1,2.274613041E0
1.957350223E0,4.129925370E-2,2.148380280E0,-4.634315372E-1,2.198183851E0
1.967348956E0,5.391973630E-2,1.908655167E0,-4.564952850E-1,1.963226892E0
1.977347689E0,5.801380053E-2,1.637866020E0,-4.491095543E-1,1.699314595E0
